"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
30,0.02,0,42,2.09954858874173
30,0.02,0,43,2.1052474757637
30,0.02,0,44,2.10787462014984
30,0.02,0,45,2.10740245434135
30,0.02,0,46,2.10382197379659
30,0.02,0,47,2.09714249115876
30,0.02,0,48,2.0873912206135
30,0.02,0,49,2.07461270216565
30,0.02,0,50,2.05886807731368
30,0.02,0,51,2.04023422910279
30,0.02,0,52,2.01880280078287
30,0.02,0,53,1.9946791082816
30,0.02,0,54,1.96798096242271
30,0.02,0,55,1.93883741727965
30,0.02,0,56,1.90738746126123
30,0.02,0,57,1.87377866748952
30,0.02,0,58,1.83816581976443
30,0.02,0,59,1.80070952993122
30,0.02,0,60,1.76157486179564
30,0.02,0,61,1.72092997588774
30,0.02,0,62,1.67894480838261
30,0.02,0,63,1.63578979636839
30,0.02,0,64,1.59163466043372
30,0.02,0,65,1.5466472542531
30,0.02,0,66,1.50099248950407
30,0.02,0,67,1.45483134307882
30,0.02,0,68,1.40831995217693
30,0.02,0,69,1.36160880150797
30,0.02,0,70,1.31484200551051
30,0.02,0,71,1.26815668722653
30,0.02,0,72,1.22168245427158
30,0.02,0,73,1.17554097122473
30,0.02,0,74,1.12984562673773
30,0.02,0,75,1.08470129273872
30,0.02,0,76,1.04020417228658
30,0.02,0,77,0.996441731921057
30,0.02,0,78,0.953492713751184
30,0.02,0,79,0.911427222029333
30,0.02,0,80,0.870306878566047
30,0.02,0,81,0.830185041047294
30,0.02,0,82,0.791107078113697
30,0.02,0,83,0.753110694943053
30,0.02,0,84,0.716226303034164
30,0.02,0,85,0.680477427912331
30,0.02,0,86,0.645881148555084
30,0.02,0,87,0.61244856246088
30,0.02,0,88,0.580185270444166
30,0.02,0,89,0.549091875427964
30,0.02,0,90,0.519164489711642
30,0.02,0,91,0.490395245409076
30,0.02,0,92,0.462772802974475
30,0.02,0,93,0.436282852954492
30,0.02,0,94,0.410908606321937
30,0.02,0,95,0.386631268956211
30,0.02,0,96,0.363430496037679
30,0.02,0,97,0.34128482231847
30,0.02,0,98,0.320172064423392
30,0.02,0,99,0.300069691525757
30,0.02,0,100,0.280955160939963
30,0.02,0,101,0.262806215382715
30,0.02,0,102,0.24560113888647
30,0.02,0,103,0.229318968611574
30,0.02,0,104,0.213939660107973
30,0.02,0,105,0.199444203934244
30,0.02,0,106,0.185814691961714
30,0.02,0,107,0.173034332185145
30,0.02,0,108,0.161087411438304
30,0.02,0,109,0.149959206080599
30,0.02,0,110,0.139635841485693
30,0.02,0,111,0.13010410202744
30,0.02,0,112,0.121351194222159
30,0.02,0,113,0.11336446674419
30,0.02,0,114,0.106131092174311
30,0.02,0,115,0.0996377165525795
30,0.02,0,116,0.0938700840673495
30,0.02,0,117,0.0888126454928432
30,0.02,0,118,0.0844481602544328
30,0.02,0,119,0.0807573032127863
30,0.02,0,120,0.077718288367906
30,0.02,0,121,0.0753065226388956
30,0.02,0,122,0.0734943036172513
30,0.02,0,123,0.0722505756595062
30,0.02,0,124,0.0715407588165837
30,0.02,0,125,0.071326664830321
30,0.02,0,126,0.0715665137039039
30,0.02,0,127,0.0722150631204196
30,0.02,0,128,0.0732238612003256
30,0.02,0,129,0.0745416307257789
30,0.02,0,130,0.0761147900061189
30,0.02,0,131,0.0778881120238284
30,0.02,0,132,0.0798055194177394
30,0.02,0,133,0.0818110082909028
30,0.02,0,134,0.0838496888644714
30,0.02,0,135,0.0858689257566111
30,0.02,0,136,0.0878195552976876
30,0.02,0,137,0.089657151979409
30,0.02,0,138,0.0913433110815366
30,0.02,0,139,0.0928469099512417
30,0.02,0,140,0.0941453065671063
30,0.02,0,141,0.0952254311474543
30,0.02,0,142,0.0960847249015186
30,0.02,0,143,0.0967318797957795
30,0.02,0,144,0.0971873346112872
30,0.02,0,145,0.0974834857532819
30,0.02,0,146,0.0976645763389977
30,0.02,0,147,0.0977862340627682
30,0.02,0,148,0.0979146371711188
30,0.02,0,149,0.098125298440111
30,0.02,0,150,0.0985014691076777
30,0.02,0,151,0.099132177958338
30,0.02,0,152,0.100109934781824
30,0.02,0,153,0.101528141746829
30,0.02,0,154,0.103478270296774
30,0.02,0,155,0.106046874389819
30,0.02,0,156,0.10931252265042
30,0.02,0,157,0.113342741658076
30,0.02,0,158,0.11819106958755
30,0.02,0,159,0.123894323215055
30,0.02,0,160,0.130470181493762
30,0.02,0,161,0.137915185180831
30,0.02,0,162,0.146203244218329
30,0.02,0,163,0.155284732752671
30,0.02,0,164,0.165086236024602
30,0.02,0,165,0.175510994263554
30,0.02,0,166,0.186440066747072
30,0.02,0,167,0.197734215074416
30,0.02,0,168,0.209236479331678
30,0.02,0,169,0.220775395179312
30,0.02,0,170,0.232168775024012
30,0.02,0,171,0.243227953415886
30,0.02,0,172,0.253762376677592
30,0.02,0,173,0.263584400478958
30,0.02,0,174,0.27251414743921
30,0.02,0,175,0.280384270510567
30,0.02,0,176,0.287044467296333
30,0.02,0,177,0.292365595763832
30,0.02,0,178,0.296243252947465
30,0.02,0,179,0.298600694856736
30,0.02,0,180,0.299390997312772
45,0.02,0,-180,0.198287196523388
45,0.02,0,-179,0.197598091250306
45,0.02,0,-178,0.195550689191288
45,0.02,0,-177,0.19219983113562
45,0.02,0,-176,0.187634732704134
45,0.02,0,-175,0.181975812273357
45,0.02,0,-174,0.175370438422395
45,0.02,0,-173,0.167987774146555
45,0.02,0,-172,0.160012930692168
45,0.02,0,-171,0.151640669361908
45,0.02,0,-170,0.143068903964334
45,0.02,0,-169,0.134492259277638
45,0.02,0,-168,0.126095932116328
45,0.02,0,-167,0.118050082066138
45,0.02,0,-166,0.110504949948934
