Phi[deg],Theta[deg],im(rEX)[mV]
178,12,335.719
180,12,335.942
-180,14,382.867
-178,14,382.613
-176,14,381.844
-174,14,380.563
-172,14,378.772
-170,14,376.474
-168,14,373.676
-166,14,370.383
-164,14,366.601
-162,14,362.34
-160,14,357.608
-158,14,352.415
-156,14,346.771
-154,14,340.689
-152,14,334.18
-150,14,327.257
-148,14,319.934
-146,14,312.226
-144,14,304.145
-142,14,295.708
-140,14,286.929
-138,14,277.824
-136,14,268.408
-134,14,258.698
-132,14,248.709
-130,14,238.456
-128,14,227.956
-126,14,217.223
-124,14,206.274
-122,14,195.122
-120,14,183.783
-118,14,172.271
-116,14,160.6
-114,14,148.783
-112,14,136.834
-110,14,124.766
-108,14,112.59
-106,14,100.32
-104,14,87.9661
-102,14,75.54
-100,14,63.0527
-98,14,50.5148
-96,14,37.9368
-94,14,25.3287
-92,14,12.7007
-90,14,0.062693
-88,14,-12.5755
-86,14,-25.204
-84,14,-37.8128
-82,14,-50.3919
-80,14,-62.9311
-78,14,-75.42
-76,14,-87.848
-74,14,-100.204
-72,14,-112.477
-70,14,-124.655
-68,14,-136.726
-66,14,-148.678
-64,14,-160.498
-62,14,-172.173
-60,14,-183.689
-58,14,-195.032
-56,14,-206.187
-54,14,-217.141
-52,14,-227.878
-50,14,-238.383
-48,14,-248.64
-46,14,-258.633
-44,14,-268.348
-42,14,-277.768
-40,14,-286.877
-38,14,-295.661
-36,14,-304.102
-34,14,-312.187
-32,14,-319.9
-30,14,-327.227
-28,14,-334.153
-26,14,-340.666
-24,14,-346.752
-22,14,-352.399
-20,14,-357.595
-18,14,-362.33
-16,14,-366.594
-14,14,-370.378
-12,14,-373.673
-10,14,-376.473
-8,14,-378.772
-6,14,-380.565
-4,14,-381.847
-2,14,-382.617
0,14,-382.871
2,14,-382.611
4,14,-381.836
6,14,-380.548
8,14,-378.75
10,14,-376.446
12,14,-373.64
14,14,-370.34
16,14,-366.551
18,14,-362.282
20,14,-357.543
22,14,-352.342
24,14,-346.692
26,14,-340.602
28,14,-334.086
30,14,-327.157
32,14,-319.827
34,14,-312.112
36,14,-304.025
38,14,-295.582
40,14,-286.798
42,14,-277.688
44,14,-268.268
46,14,-258.553
48,14,-248.56
50,14,-238.304
52,14,-227.801
54,14,-217.066
56,14,-206.115
58,14,-194.961
60,14,-183.621
62,14,-172.109
64,14,-160.438
66,14,-148.622
68,14,-136.674
70,14,-124.607
72,14,-112.434
74,14,-100.166
76,14,-87.8156
78,14,-75.3931
80,14,-62.9098
82,14,-50.3764
84,14,-37.8031
86,14,-25.2002
88,14,-12.5778
90,14,0.054401
92,14,12.6864
94,14,25.3085
96,14,37.9106
98,14,50.4829
100,14,63.0151
102,14,75.4969
104,14,87.9176
106,14,100.266
108,14,112.532
