Phi[deg],Theta[deg],im(rEY)[mV]
20,10,-164.409
22,10,-180.113
24,10,-195.587
26,10,-210.813
28,10,-225.771
30,10,-240.442
32,10,-254.81
34,10,-268.856
36,10,-282.564
38,10,-295.916
40,10,-308.898
42,10,-321.493
44,10,-333.686
46,10,-345.465
48,10,-356.814
50,10,-367.722
52,10,-378.175
54,10,-388.161
56,10,-397.67
58,10,-406.692
60,10,-415.215
62,10,-423.231
64,10,-430.732
66,10,-437.708
68,10,-444.154
70,10,-450.061
72,10,-455.424
74,10,-460.237
76,10,-464.495
78,10,-468.195
80,10,-471.331
82,10,-473.901
84,10,-475.902
86,10,-477.333
88,10,-478.192
90,10,-478.477
92,10,-478.189
94,10,-477.328
96,10,-475.895
98,10,-473.891
100,10,-471.319
102,10,-468.18
104,10,-464.479
106,10,-460.218
108,10,-455.403
110,10,-450.038
112,10,-444.129
114,10,-437.682
116,10,-430.704
118,10,-423.202
120,10,-415.184
122,10,-406.66
124,10,-397.638
126,10,-388.127
128,10,-378.14
130,10,-367.687
132,10,-356.779
134,10,-345.429
136,10,-333.65
138,10,-321.457
140,10,-308.862
142,10,-295.881
144,10,-282.529
146,10,-268.822
148,10,-254.777
150,10,-240.41
152,10,-225.74
154,10,-210.783
156,10,-195.559
158,10,-180.086
160,10,-164.384
162,10,-148.472
164,10,-132.37
166,10,-116.099
168,10,-99.678
170,10,-83.1292
172,10,-66.4732
174,10,-49.7312
176,10,-32.9246
178,10,-16.0748
180,10,0.796643
-180,12,0.80259
-178,12,20.7495
-176,12,40.6706
-174,12,60.5398
-172,12,80.3314
-170,12,100.02
-168,12,119.579
-166,12,138.984
-164,12,158.209
-162,12,177.231
-160,12,196.025
-158,12,214.566
-156,12,232.832
-154,12,250.799
-152,12,268.444
-150,12,285.747
-148,12,302.686
-146,12,319.24
-144,12,335.389
-142,12,351.114
-140,12,366.395
-138,12,381.216
-136,12,395.559
-134,12,409.407
-132,12,422.746
-130,12,435.559
-128,12,447.833
-126,12,459.555
-124,12,470.712
-122,12,481.292
-120,12,491.284
-118,12,500.677
-116,12,509.463
-114,12,517.633
-112,12,525.178
-110,12,532.091
-108,12,538.365
-106,12,543.995
-104,12,548.975
-102,12,553.3
-100,12,556.967
-98,12,559.972
-96,12,562.312
-94,12,563.986
-92,12,564.991
-90,12,565.328
-88,12,564.994
-86,12,563.992
-84,12,562.322
-82,12,559.984
-80,12,556.982
-78,12,553.318
-76,12,548.996
-74,12,544.019
-72,12,538.391
-70,12,532.119
-68,12,525.209
-66,12,517.666
-64,12,509.499
-62,12,500.714
-60,12,491.322
